FIPS,County,Labor Force, Employed, Unemployed,Unemployment Rate,Median Household Income,Med HH Income Percent of State Total,Annual Income,Votes Cast for President,"Votes Cast for President, Democratic Party, Percent","Votes Cast for President, Republican Party, Percent","Votes Cast for President, Libertarian Party, Percent",Voting History,"Voter Turnout, Black Female, Percent","Voter Turnout, Black Male, Percent","Voter Turnout, White Female, Percent","Voter Turnout, White Male, Percent","Voter Turnout, Asian, Percent","Voter Turnout, Hispanic, Percent","Voter Turnout, Other Race, Percent",Male Population,Female Population
13219,Oconee County ,18299,17780,519,2.8,99497,169.70,67845,25168,32.43,65.94,0.88,25406,2.05,1.37,44.87,40.43,2.44,1.81,7.03,"21,037","20,297"
13221,Oglethorpe County ,6505,6230,275,4.2,51105,87.20,36698,8131,29.96,68.79,0.58,8171,7.62,5.09,41.72,37.93,0.26,1.35,6.03,"7,757","7,673"
13223,Paulding County ,82102,77980,4122,5.0,73309,125.00,38978,85385,34.79,63.86,0.64,85694,11.29,7.73,36.46,32.20,0.73,3.14,8.45,"88,205","83,900"
13225,Peach County ,11059,10410,649,5.9,46525,79.30,39336,12545,47.19,51.83,0.53,12571,22.58,14.80,28.43,26.12,0.56,2.31,5.22,"14,227","13,289"
13227,Pickens County ,14452,13868,584,4.0,65062,111.00,48493,17116,16.41,82.23,0.37,16995,0.34,0.26,48.71,44.02,0.35,0.85,5.48,"17,036","16,419"
13229,Pierce County ,8200,7857,343,4.2,44389,75.70,37486,9048,12.16,87.30,0.32,9079,3.73,2.43,46.10,40.68,0.30,0.66,6.10,"9,865","9,676"
13231,Pike County ,8440,8080,360,4.3,66901,114.10,41401,10720,14.04,85.14,0.38,10750,4.22,3.11,45.37,40.96,0.31,0.52,5.52,"9,560","9,254"
13233,Polk County ,17685,16814,871,4.9,43679,74.50,34055,17399,21.02,78.10,0.39,17393,6.09,3.42,43.62,39.03,0.30,2.17,5.37,"21,661","20,916"
13235,Pulaski County ,3724,3575,149,4.0,40582,69.20,31603,4059,29.98,69.11,0.44,4060,14.61,8.52,37.86,34.43,0.62,0.69,3.28,"6,248","4,725"
13237,Putnam County ,7841,7375,466,5.9,51205,87.30,44643,11855,29.08,69.94,0.40,11923,11.44,6.78,39.47,36.13,0.34,1.13,4.71,"11,298","10,719"
13239,Quitman County ,801,755,46,5.7,33908,57.80,31466,1106,44.94,54.61,0.09,1118,24.96,15.92,27.37,25.94,0.36,0.81,4.65,"1,183","1,088"
13241,Rabun County ,6989,6683,306,4.4,44213,75.40,41058,9568,20.74,78.11,0.51,9634,0.20,0.16,48.68,43.55,0.29,1.20,5.92,"8,684","8,357"
13243,Randolph County ,2443,2300,143,5.9,28298,48.30,35186,3074,54.36,45.25,0.13,3085,32.84,18.51,23.27,21.91,0.13,0.32,3.01,"3,529","3,114"
13245,Richmond County ,80950,74597,6353,7.8,40168,68.50,39370,87016,67.95,30.78,0.41,87528,32.70,20.26,19.17,16.22,0.99,1.46,9.19,"103,908","98,662"
13247,Rockdale County ,43624,40315,3309,7.6,59673,101.80,36138,44686,69.92,29.12,0.42,44944,33.13,22.11,16.32,14.14,1.23,2.27,10.81,"48,358","43,079"
13249,Schley County ,2156,2086,70,3.2,45378,77.40,33044,2275,20.31,79.12,0.26,2284,9.94,5.47,42.25,38.13,0.39,1.01,2.80,"2,758","2,511"
13251,Screven County ,4980,4597,383,7.7,39048,66.60,35346,6628,40.15,59.08,0.33,6648,19.83,12.74,33.12,29.18,0.24,0.35,4.54,"7,000","6,958"
13253,Seminole County ,2926,2786,140,4.8,36869,62.90,47527,3884,32.29,67.22,0.08,3905,16.36,8.60,36.67,33.67,0.28,0.64,3.76,"4,151","3,857"
13255,Spalding County ,27833,25753,2080,7.5,43510,74.20,35740,30116,39.13,59.96,0.26,30098,17.79,10.21,34.35,29.90,0.52,1.37,5.87,"34,759","32,326"
13257,Stephens County ,10435,9859,576,5.5,45850,78.20,39335,11885,20.07,78.82,0.63,11912,4.68,3.27,44.74,40.75,0.56,0.89,5.10,"13,388","12,581"
13259,Stewart County ,2506,2371,135,5.4,33053,56.40,23081,1990,59.40,40.25,0.15,1985,33.45,21.41,20.96,20.15,0.10,0.35,3.58,"2,054","4,507"
13261,Sumter County ,12771,11872,899,7.0,37562,64.10,37936,12150,52.00,47.18,0.46,12238,27.86,15.91,27.68,23.94,0.60,0.84,3.15,"15,416","13,694"
13263,Talbot County ,2678,2504,174,6.5,37265,63.60,35705,3522,60.02,39.52,0.14,3509,32.03,20.86,22.06,20.49,0.20,0.51,3.85,"3,195","2,939"
13265,Taliaferro County ,553,518,35,6.3,34090,58.10,37088,928,60.45,38.79,0.22,935,28.56,25.13,21.71,20.64,0.11,0.43,3.42,757,745
13267,Tattnall County ,9032,8677,355,3.9,41440,70.70,29106,8183,25.19,73.97,0.31,8226,10.28,6.60,40.03,35.22,0.40,2.12,5.35,"10,724","14,525"
13269,Taylor County ,2781,2613,168,6.0,36310,61.90,32801,3839,36.13,62.99,0.47,3838,18.73,11.52,33.30,30.82,0.18,0.68,4.77,"4,150","3,797"
13271,Telfair County ,3484,3155,329,9.4,34297,58.50,21535,4333,34.32,65.20,0.21,4357,17.83,11.18,34.17,32.20,0.30,0.55,3.76,"6,393","9,258"
13273,Terrell County ,3345,3069,276,8.3,35290,60.20,43654,4416,53.80,45.38,0.20,4433,31.92,18.11,23.10,22.33,0.25,0.29,3.99,"4,428","4,054"
13275,Thomas County ,16335,15274,1061,6.5,41642,71.00,46223,21853,39.85,59.28,0.42,21938,18.14,9.80,34.94,29.94,0.52,0.77,5.88,"23,383","21,059"
13277,Tift County ,19635,18646,989,5.0,45680,77.90,39317,16283,32.68,66.23,0.54,16317,13.86,7.57,38.39,32.55,0.87,2.72,4.04,"20,986","19,764"
13279,Toombs County ,11395,10679,716,6.3,37148,63.40,37143,10914,26.93,72.13,0.35,10961,12.30,6.79,40.08,33.35,0.48,1.97,5.03,"14,124","12,794"
13281,Towns County ,3592,3405,187,5.2,45853,78.20,39181,7979,19.43,80.01,0.23,8018,0.17,0.10,49.63,43.65,0.27,0.79,5.39,"6,512","5,915"
13283,Treutlen County ,2478,2343,135,5.4,35069,59.80,29682,3077,30.94,68.28,0.32,3102,17.57,9.96,35.78,32.72,0.23,0.32,3.42,"3,445","3,432"
13285,Troup County ,37082,34820,2262,6.1,45234,77.10,37690,30049,38.53,60.38,0.43,30190,18.30,9.91,35.12,29.92,0.79,0.91,5.05,"36,241","33,338"
13287,Turner County ,3076,2828,248,8.1,33261,56.70,36836,3792,37.18,61.95,0.58,3804,20.66,11.07,33.73,29.78,0.21,1.05,3.50,"4,083","3,846"
13289,Twiggs County ,2704,2524,180,6.7,42054,71.70,43163,4444,45.99,53.33,0.18,4457,23.89,17.37,27.06,25.85,0.27,0.52,5.05,"4,095","3,957"
13291,Union County ,9896,9542,354,3.6,45943,78.40,37588,15560,18.00,81.30,0.23,15646,0.06,0.08,48.93,43.24,0.36,0.83,6.50,"12,595","11,901"
13293,Upson County ,11038,10328,710,6.4,40965,69.90,36653,12905,32.55,66.70,0.37,12953,15.07,9.26,37.19,31.98,0.31,0.41,5.79,"13,807","12,510"
13295,Walker County ,30184,28991,1193,4.0,43767,74.60,34078,29354,19.65,78.95,0.59,29480,1.67,1.13,46.77,40.55,0.33,0.50,9.06,"35,344","34,390"
13297,Walton County ,43838,41708,2130,4.9,65416,111.60,42406,51095,24.82,74.06,0.46,51288,7.71,5.03,39.67,34.80,0.69,1.52,10.58,"49,277","47,058"
13299,Ware County ,14765,14008,757,5.1,38357,65.40,34915,14192,29.67,69.51,0.37,14231,13.79,7.67,39.41,33.09,0.51,0.80,4.73,"17,676","17,776"
13301,Warren County ,2705,2554,151,5.6,38352,65.40,36427,2651,55.41,43.98,0.34,2653,32.19,18.81,23.71,21.26,0.23,0.34,3.47,"2,717","2,470"
13303,Washington County ,6502,6059,443,6.8,39444,67.30,36321,9459,50.01,49.30,0.29,9497,28.56,16.45,27.20,23.98,0.16,0.39,3.27,"9,848","10,423"
13305,Wayne County ,10595,10028,567,5.4,44607,76.10,32633,12778,21.03,78.16,0.41,12824,8.68,4.84,42.47,36.75,0.41,0.92,5.93,"14,610","15,378"
13307,Webster County ,986,932,54,5.5,38187,65.10,34700,1390,45.97,53.81,0.07,1403,24.38,17.89,28.94,25.45,0.14,0.50,2.71,"1,293","1,289"
13309,Wheeler County ,1501,1408,93,6.2,32691,55.80,19472,2285,30.15,69.28,0.31,2291,14.75,10.52,36.19,34.53,0.04,0.79,3.19,"2,735","5,045"
13311,White County ,16096,15572,524,3.3,51579,88.00,35238,14816,16.27,82.49,0.51,14885,0.53,0.36,48.67,43.92,0.34,0.81,5.37,"15,846","15,092"
13313,Whitfield County ,40989,38955,2034,5.0,47074,80.30,39927,36746,29.04,69.77,0.44,36955,2.02,1.46,40.37,34.44,0.96,12.76,8.00,"52,395","52,249"
13315,Wilcox County ,2593,2435,158,6.1,35961,61.30,29334,3281,26.27,73.24,0.18,3294,14.66,8.38,38.86,35.15,0.24,0.73,1.97,"3,426","5,152"
13317,Wilkes County ,3728,3498,230,6.2,39361,67.10,42644,5029,42.95,56.13,0.40,5024,21.48,12.92,31.53,29.00,0.50,0.44,4.14,"5,002","4,665"
13319,Wilkinson County ,3898,3724,174,4.5,41036,70.00,37011,4770,43.50,55.85,0.21,4776,23.62,14.70,30.13,27.97,0.17,0.21,3.20,"4,590","4,275"
13321,Worth County ,8252,7849,403,4.9,48708,83.10,36974,9285,25.79,73.56,0.30,9322,13.12,8.06,38.53,36.03,0.21,0.44,3.60,"10,428","9,686"
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
